threshold,precision,recall,f1,tn,fp,fn,tp,total_cost,default_catch_rate
0.6499999999999997,0.2770938933140237,0.2715552927261975,0.2742966369989845,58512,5990,6159,2296,67580,0.2715552927261975
0.6599999999999997,0.283968850698174,0.25014784151389713,0.2659875495189587,59169,5333,6340,2115,68733,0.25014784151389713
0.6699999999999997,0.2946830880144187,0.23205204021289177,0.2596440150863495,59806,4696,6493,1962,69626,0.23205204021289177
0.6799999999999997,0.30534479851627044,0.2141927853341218,0.25177255665230086,60382,4120,6644,1811,70560,0.2141927853341218
0.6899999999999997,0.3127369219105383,0.19515079834417504,0.2403320952589032,60876,3626,6805,1650,71676,0.19515079834417504
0.6999999999999996,0.3192266380236305,0.17575399172087522,0.226697177726926,61333,3169,6969,1486,72859,0.17575399172087522
0.7099999999999996,0.33251231527093594,0.1596688350088705,0.21574111066719937,61792,2710,7105,1350,73760,0.1596688350088705
0.7199999999999996,0.3419282511210762,0.14429331756357186,0.20294435664975466,62154,2348,7235,1220,74698,0.14429331756357186
0.7299999999999996,0.3499517529752332,0.12868125369603783,0.1881701833275683,62481,2021,7367,1088,75691,0.12868125369603783
0.7399999999999997,0.36209495101733236,0.11366055588409225,0.17301287244576471,62809,1693,7494,961,76633,0.11366055588409225
0.7499999999999997,0.38046387154326494,0.10088704908338261,0.15948396746751425,63113,1389,7602,853,77409,0.10088704908338261
0.7599999999999997,0.3930084745762712,0.08775872264931993,0.1434786812336846,63356,1146,7713,742,78276,0.08775872264931993
0.7699999999999997,0.40426867545511613,0.07616794795978711,0.1281847133757962,63553,949,7811,644,79059,0.07616794795978711
0.7799999999999997,0.42301829268292684,0.06564163217031342,0.11364799836183065,63745,757,7900,555,79757,0.06564163217031342
0.7899999999999996,0.43457943925233644,0.05499704316972206,0.09763779527559056,63897,605,7990,465,80505,0.05499704316972206
0.7999999999999996,0.4463667820069204,0.045771732702542874,0.08302939283415577,64022,480,8068,387,81160,0.045771732702542874
0.8099999999999996,0.4608695652173913,0.037610881135422825,0.06954620010934937,64130,372,8137,318,81742,0.037610881135422825
0.8199999999999996,0.48608534322820035,0.030987581312832642,0.05826106293084278,64225,277,8193,262,82207,0.030987581312832642
0.8299999999999996,0.48104265402843605,0.024009461856889413,0.04573617213022416,64283,219,8252,203,82739,0.024009461856889413
0.8399999999999996,0.5121212121212121,0.019988172678888232,0.03847467273762095,64341,161,8286,169,83021,0.019988172678888232
0.8499999999999996,0.543859649122807,0.014665878178592549,0.02856155706553035,64398,104,8331,124,83414,0.014665878178592549
0.8599999999999995,0.551948051948052,0.010053222945002957,0.01974677662910907,64433,69,8370,85,83769,0.010053222945002957
0.8699999999999996,0.5391304347826087,0.0073329390892962745,0.014469078179696617,64449,53,8393,62,83983,0.0073329390892962745
0.8799999999999996,0.6111111111111112,0.0052040212891780015,0.01032015949337399,64474,28,8411,44,84138,0.0052040212891780015
0.8899999999999996,0.65,0.003075103489059728,0.0061212477928193065,64488,14,8429,26,84304,0.003075103489059728
