objective,threshold,recall,precision,f1,missed_defaults
min_cost,0.44999999999999984,0.7081017149615612,0.16740765595727428,0.270794698991361,2468.0
max_f1,0.5799999999999997,0.420816085156712,0.22861916083017414,0.2962777916562578,
high_recall_80,0.3899999999999999,0.818214074512123,0.14606646678772012,0.24788146980310657,
high_recall_90,0.32999999999999985,0.9041986989946778,0.1306837606837607,0.22836233291016356,
