objective,threshold,recall,precision,f1,missed_defaults
min_cost,0.44999999999999984,0.7114133648728563,0.16810127997317087,0.271944300020345,2440.0
max_f1,0.5899999999999997,0.39704316972205794,0.23761325028312572,0.29730328122924327,
high_recall_80,0.3999999999999998,0.804849201655825,0.14903635567236093,0.2515014321352675,
high_recall_90,0.32999999999999985,0.9094027202838557,0.1301301470712678,0.22768055432175532,
