threshold,precision,recall,f1,tn,fp,fn,tp,total_cost,default_catch_rate
0.6499999999999997,0.2834518019703205,0.26883500887049083,0.27594998178948643,58756,5746,6182,2273,67566,0.26883500887049083
0.6599999999999997,0.2891599667313557,0.24671791839148433,0.26625821686131845,59374,5128,6369,2086,68818,0.24671791839148433
0.6699999999999997,0.29930178432893717,0.22814902424600828,0.2589261744966443,59986,4516,6526,1929,69776,0.22814902424600828
0.6799999999999997,0.30874364815139305,0.20839739798935542,0.2488349103234007,60557,3945,6693,1762,70875,0.20839739798935542
0.6899999999999997,0.319299626204997,0.19195742164399762,0.23976953759787267,61042,3460,6832,1623,71780,0.19195742164399762
0.6999999999999996,0.3282051282051282,0.17409816676522769,0.22751159196290574,61489,3013,6983,1472,72843,0.17409816676522769
0.7099999999999996,0.3359573387506348,0.15647545830869308,0.21350762527233116,61887,2615,7132,1323,73935,0.15647545830869308
0.7199999999999996,0.351129363449692,0.14157303370786517,0.20178691840863117,62290,2212,7258,1197,74792,0.14157303370786517
0.7299999999999996,0.36017520215633425,0.1264340626848019,0.18716624354372757,62603,1899,7386,1069,75759,0.1264340626848019
0.7399999999999997,0.37206526064464784,0.11058545239503252,0.17049598832968638,62924,1578,7520,935,76778,0.11058545239503252
0.7499999999999997,0.38428158148505304,0.09426374926079244,0.15139139519422548,63225,1277,7658,797,77857,0.09426374926079244
0.7599999999999997,0.39549653579676675,0.08101714961561206,0.13448512810444682,63455,1047,7770,685,78747,0.08101714961561206
0.7699999999999997,0.41172413793103446,0.07060910703725606,0.12054517920242301,63649,853,7858,597,79433,0.07060910703725606
0.7799999999999997,0.4278481012658228,0.059964518036664693,0.10518672199170125,63824,678,7948,507,80158,0.059964518036664693
0.7899999999999996,0.44145077720207254,0.050384387936132466,0.09044585987261146,63963,539,8029,426,80829,0.050384387936132466
0.7999999999999996,0.4536082474226804,0.04163217031342401,0.07626476004766548,64078,424,8103,352,81454,0.04163217031342401
0.8099999999999996,0.469721767594108,0.03394441159077469,0.06331347893227443,64178,324,8168,287,82004,0.03394441159077469
0.8199999999999996,0.49148936170212765,0.027321111768184508,0.05176470588235294,64263,239,8224,231,82479,0.027321111768184508
0.8299999999999996,0.4973821989528796,0.02247191011235955,0.043001018445173705,64310,192,8265,190,82842,0.02247191011235955
0.8399999999999996,0.5,0.01738616203429923,0.0336038404389073,64355,147,8308,147,83227,0.01738616203429923
0.8499999999999996,0.5441860465116279,0.013837965700768775,0.026989619377162627,64404,98,8338,117,83478,0.013837965700768775
0.8599999999999995,0.5751633986928104,0.010408042578356003,0.020446096654275093,64437,65,8367,88,83735,0.010408042578356003
0.8699999999999996,0.6263736263736264,0.006741573033707865,0.01333957406974023,64468,34,8398,57,84014,0.006741573033707865
0.8799999999999996,0.609375,0.004612655233589592,0.009156004225848106,64477,25,8416,39,84185,0.004612655233589592
0.8899999999999996,0.6341463414634146,0.003075103489059728,0.0061205273069679855,64487,15,8429,26,84305,0.003075103489059728
