iter	Passed	Remaining
401	14903	22678
402	14934	22628
403	14969	22586
404	15007	22548
405	15039	22502
406	15077	22464
407	15113	22423
408	15148	22381
409	15184	22341
410	15218	22297
411	15251	22253
412	15284	22208
413	15320	22167
414	15354	22124
415	15388	22080
416	15422	22037
417	15453	21989
418	15486	21945
419	15518	21899
420	15550	21853
421	15586	21813
422	15619	21769
423	15651	21723
424	15686	21681
425	15721	21640
426	15755	21598
427	15786	21551
428	15825	21515
429	15859	21471
430	15895	21432
431	15928	21389
432	15963	21346
433	16000	21308
434	16034	21266
435	16068	21223
436	16100	21178
437	16133	21134
438	16166	21091
439	16198	21047
440	16229	21000
441	16263	20958
442	16298	20918
443	16332	20875
444	16368	20835
445	16401	20792
446	16434	20749
447	16472	20712
448	16510	20675
449	16544	20633
450	16580	20594
451	16618	20557
452	16653	20516
453	16687	20475
454	16723	20435
455	16757	20394
456	16791	20352
457	16822	20306
458	16852	20260
459	16882	20214
460	16914	20170
461	16943	20122
462	16974	20077
463	17006	20033
464	17036	19988
465	17066	19942
466	17104	19905
467	17136	19861
468	17164	19813
469	17198	19772
470	17227	19725
471	17259	19682
472	17290	19638
473	17323	19596
474	17356	19553
475	17387	19509
476	17419	19466
477	17449	19420
478	17482	19379
479	17512	19333
480	17544	19291
481	17574	19246
482	17606	19203
483	17637	19159
484	17671	19118
485	17702	19076
486	17735	19033
487	17768	18992
488	17800	18950
489	17831	18906
490	17864	18865
491	17898	18824
492	17930	18782
493	17963	18741
494	17994	18698
495	18026	18655
496	18059	18614
497	18093	18574
498	18122	18529
499	18154	18486
500	18154	18486
501	18344	18567
502	18377	18526
503	18408	18483
504	18441	18441
505	18473	18399
506	18506	18358
507	18538	18315
508	18568	18271
509	18599	18227
510	18632	18186
511	18662	18142
512	18695	18101
513	18730	18061
514	18760	18017
515	18793	17976
516	18826	17935
517	18855	17890
518	18888	17849
519	18921	17808
520	18954	17767
521	18987	17726
522	19018	17684
523	19049	17641
524	19082	17599
525	19118	17562
526	19150	17520
527	19182	17478
528	19216	17439
529	19247	17396
530	19281	17357
531	19314	17316
532	19346	17274
533	19376	17231
534	19405	17187
535	19439	17148
536	19472	17108
537	19507	17068
538	19541	17029
539	19574	16989
540	19607	16948
541	19642	16910
542	19675	16870
543	19711	16832
544	19743	16791
545	19778	16752
546	19811	16712
547	19811	16712
548	20002	16768
549	20035	16727
550	20072	16689
551	20105	16648
552	20141	16611
553	20174	16570
554	20206	16529
555	20239	16489
556	20273	16449
557	20307	16409
558	20343	16371
559	20376	16331
560	20414	16294
561	20450	16256
562	20484	16216
563	20521	16179
564	20556	16141
565	20590	16101
566	20624	16062
567	20656	16021
568	20686	15978
569	20718	15936
570	20749	15895
571	20786	15858
572	20816	15816
573	20847	15774
574	20879	15733
575	20907	15689
576	20936	15647
577	20968	15606
578	20998	15564
579	21030	15523
580	21059	15480
581	21088	15437
582	21117	15394
583	21147	15352
584	21176	15310
585	21205	15267
586	21236	15226
587	21265	15184
588	21294	15141
589	21321	15098
590	21351	15056
591	21382	15015
592	21411	14973
593	21442	14932
594	21470	14889
595	21497	14846
596	21527	14805
597	21554	14761
598	21584	14719
599	21612	14677
600	21642	14636
601	21671	14594
602	21700	14552
603	21730	14511
604	21760	14470
605	21791	14430
606	21822	14389
607	21854	14349
608	21881	14307
609	21908	14264
610	21937	14223
611	21965	14180
612	21993	14138
613	22023	14098
614	22054	14057
615	22084	14017
616	22113	13976
617	22142	13934
618	22170	13892
619	22201	13852
620	22232	13813
621	22261	13772
622	22293	13733
623	22324	13693
624	22355	13653
625	22383	13612
626	22411	13570
627	22439	13529
628	22468	13488
629	22498	13448
630	22528	13407
631	22557	13367
632	22588	13327
633	22618	13287
634	22647	13247
635	22675	13206
636	22706	13166
637	22734	13126
638	22765	13086
639	22796	13047
640	22825	13006
641	22854	12966
642	22880	12924
643	22909	12884
644	22939	12844
645	22968	12804
646	22998	12765
647	23030	12726
648	23061	12687
649	23091	12647
650	23119	12607
651	23150	12568
652	23180	12529
653	23210	12489
654	23240	12450
655	23273	12412
656	23302	12372
657	23332	12333
658	23361	12293
659	23388	12252
